AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
T Nagar,1721,2012-03-26,117,1,1,4,AdjLand,Yes,1992-03-31,Others,ELO,Paved,RM,2.0,2.8,2.9,2.605,416483,223116,14874380
Velachery,1755,2006-04-28,16,2,1,4,AdjLand,Yes,1987-03-05,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,306671,173780,10222380
Anna Nagar,1709,2009-11-22,130,1,1,4,Family,No,2003-11-24,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590
KK Nagar,2114,2010-09-05,46,3,2,5,AdjLand,Yes,1989-05-14,Commercial,NoSeWa,Gravel,RH,2.7,3.0,3.9,3.27,632334,281037,17564820
Karapakkam,1226,2010-05-23,180,1,1,3,Normal Sale,No,1983-05-30,House,AllPub,Paved,A,4.0,3.7,4.7,4.19,154109,114339,4971250
Velachery,1648,2011-01-28,111,2,1,4,Family,Yes,1998-01-31,Others,NoSeWa,Paved,C,4.3,2.9,2.0,2.98,275120,82536,9170660
Chrompet,856,2011-07-11,36,1,1,3,AdjLand,Yes,1985-11-13,Others,NoSewr ,Gravel,RM,2.1,3.6,3.5,3.12,332269,103834,10383420
Adyar,904,2009-01-24,52,1,1,3,AdjLand,No,1969-03-02,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400
Chrompet,1198,2012-12-21,105,1,1,3,Normal Sale,No,1976-12-30,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260
Karapakkam,931,2011-03-10,16,1,1,3,AdjLand,No,1993-07-10,Commercial,AllPub,Paved,A,4.0,4.2,2.4,3.42,291669,166668,6944500
Karapakkam,1290,2009-08-18,86,1,1,3,AdjLand,Yes,1961-08-30,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,364015,92940,7745000
Karapakkam,507,2010-03-23,49,1,1,2,AbNormal,Yes,1964-03-04,House,ELO,Gravel,RH,2.6,4.6,4.6,4.0,252032,74464,5728000
KK Nagar,2492,2009-06-12,113,4,2,6,AbNormal,No,1993-10-12,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520
Karapakkam,851,2011-11-09,105,1,1,2,Partial,No,1982-09-18,House,AllPub,No Access,C,4.0,3.8,2.5,3.34,167896,39295,3572250
Anna Nagar,1710,2009-12-11,15,1,1,4,Normal Sale,Yes,1998-11-15,Commercial,AllPub,Gravel,RH,2.7,4.0,2.2,2.825,808639,161728,20215970
Karapakkam,1412,2010-06-11,28,2,2,4,AdjLand,No,1982-11-13,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000
Adyar,779,2006-12-10,51,1,1,2,Normal Sale,No,1997-10-14,House,NoSewr ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635
T Nagar,1655,2014-05-21,19,1,1,4,AbNormal,No,1980-05-29,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930
Karapakkam,940,2010-03-04,167,1,1,3,AdjLand,No,1961-04-15,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750
KK Nagar,1667,2012-02-26,126,2,1,4,Partial,Yes,2007-02-27,House,NoSeWa,Paved,RM,4.8,2.1,5.0,4.07,364810,268243,10729700
KK Nagar,1926,2008-12-08,49,3,2,5,Family,Yes,1999-08-15,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,816325,153061,17006780
Adyar,718,2007-10-23,75,1,1,2,Partial,Yes,1977-10-30,Others,ELO,No Access,C,2.0,3.9,3.4,3.08,211662,55701,5570050
Karapakkam,545,2012-12-01,154,1,1,2,Partial,No,1982-01-19,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375
Karapakkam,1249,2009-12-09,25,1,1,3,AdjLand,Yes,1973-09-21,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,318010,120328,8594875
T Nagar,1894,2013-08-06,187,2,1,5,Partial,Yes,1968-06-19,House,NoSewr ,Gravel,RL,2.0,3.7,4.4,3.505,406478,162591,13549250
Karapakkam,1469,2011-12-12,200,2,2,4,AbNormal,No,2006-12-13,Commercial,NoSewr ,No Access,C,4.7,2.0,2.4,2.97,284423,132731,9480750
Adyar,916,2008-08-08,32,1,1,3,Normal Sale,Yes,1980-08-15,House,ELO,No Access,A,3.6,3.0,3.9,3.63,228053,23390,5847520
Chrompet,934,2008-04-20,11,1,1,3,AdjLand,Yes,1986-04-26,House,NoSeWa,Paved,RM,3.4,4.0,3.8,3.76,310749,58265,9710900
Karapakkam,1691,2011-02-05,100,2,2,4,AbNormal,No,1980-09-05,House,NoSeWa,Gravel,RM,4.0,3.9,3.5,3.77,319558,178576,9398750
Karapakkam,1236,2011-04-21,36,1,1,3,Normal Sale,No,1972-04-30,Commercial,NoSewr ,Paved,I,3.3,3.3,2.0,2.78,334638,114481,8806250
T Nagar,1577,2007-09-28,23,1,1,4,Partial,Yes,1971-07-10,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,302183,193397,12087330
Anna Nagar,1915,2011-10-01,13,2,1,5,Partial,Yes,1970-01-20,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,354391,170107,14175620
Anna Nagar,1600,2012-09-30,154,1,1,4,Family,Yes,1991-06-10,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,309941,166891,11920820
Velachery,1579,2011-10-14,58,2,1,4,AbNormal,Yes,1987-10-20,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,467766,240565,13364730
Adyar,1260,2008-07-21,89,2,2,4,Partial,No,1983-07-28,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975
Adyar,1021,2009-12-22,176,1,1,3,Normal Sale,No,2004-12-23,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175
KK Nagar,2174,2011-10-31,48,3,2,5,Family,Yes,1988-05-11,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,548929,313674,13069740
Adyar,668,2010-03-21,177,1,1,2,AbNormal,Yes,2005-03-22,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575
Velachery,1724,2006-09-04,116,2,1,4,AbNormal,Yes,1952-04-22,House,ELO,No Access,RL,3.8,2.2,2.0,2.54,358259,152260,8956480
Adyar,890,2011-07-20,116,1,1,3,AbNormal,Yes,1981-07-27,House,NoSewr ,Paved,C,2.5,4.7,5.0,4.19,251557,43124,7187350
Adyar,1218,2007-06-13,51,2,2,4,Normal Sale,No,1977-06-20,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850
Anna Nagar,1792,2011-02-21,41,1,1,4,Family,Yes,1990-02-26,House,ELO,Gravel,RM,2.7,2.6,2.0,2.395,514532,250313,13906270
Karapakkam,1378,2012-02-19,192,2,2,4,AdjLand,No,2003-02-21,Others,NoSewr ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500
Karapakkam,898,2009-07-22,72,1,1,3,Partial,Yes,1980-07-29,Commercial,NoSewr ,Paved,RH,2.4,3.1,2.1,2.49,345190,215744,8629750
Anna Nagar,1928,2011-08-18,148,2,1,5,Partial,No,2001-08-20,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050
Chrompet,1233,2008-02-08,24,2,1,4,AbNormal,No,1975-11-08,House,NoSeWa,Gravel,RM,2.2,2.0,4.6,2.84,245429,107989,9817150
Velachery,1618,2007-07-30,100,2,1,4,AdjLand,Yes,1967-09-08,Others,NoSewr ,Paved,C,4.0,4.3,4.1,4.17,370522,92631,9263050
Karapakkam,627,2011-12-08,49,1,1,2,Family,No,1983-08-19,House,NoSewr ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500
Velachery,1563,2005-08-16,43,2,1,4,Family,No,1977-08-23,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360
Karapakkam,1693,2009-07-30,187,2,2,4,Normal Sale,Yes,2003-01-08,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500
T Nagar,1522,2009-03-30,85,1,1,4,Partial,No,1966-10-04,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510
Adyar,1090,2008-07-21,171,1,1,3,Partial,Yes,1980-07-28,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,373632,98324,9832420
T Nagar,1687,2009-08-13,73,1,1,4,AbNormal,No,1996-08-16,Others,NoSewr ,Paved,RH,4.6,4.6,2.0,3.43,411733,224582,12476770
Adyar,692,2008-12-09,62,1,1,2,Normal Sale,Yes,1971-09-22,Commercial,AllPub,Paved,RH,4.1,4.4,5.0,4.61,394491,124576,10381355
T Nagar,1518,2008-03-07,145,1,1,4,Family,Yes,1971-07-13,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,457606,158402,17600240
Adyar,1025,2008-10-05,125,1,1,3,Partial,No,1983-05-17,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875
KK Nagar,2170,2010-07-20,121,3,2,5,Family,Yes,2002-07-22,House,NoSewr ,Gravel,RL,3.7,4.6,4.0,4.09,593864,284560,12372160
Chrompet,969,2011-05-23,70,1,1,3,Family,Yes,1994-05-27,Commercial,ELO,No Access,RH,3.4,2.4,4.0,3.18,337463,146234,11248750
KK Nagar,1546,2008-09-04,129,2,1,4,AbNormal,No,1981-04-16,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140
KK Nagar,1709,2009-10-24,6,2,1,4,AbNormal,Yes,1989-10-29,House,NoSeWa,Paved,RL,4.3,3.7,2.0,3.2,467388,233694,10160600
T Nagar,1659,2013-07-04,103,1,1,4,AdjLand,Yes,1995-12-04,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,433251,216625,13539080
Chrompet,755,2015-09-01,8,1,1,2,Normal Sale,No,1982-01-17,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750
Adyar,1182,2007-10-24,50,1,1,3,Normal Sale,Yes,1990-10-28,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,374948,39468,9867055
Adyar,735,2012-06-03,67,1,1,2,AdjLand,No,1998-10-03,Commercial,NoSeWa,No Access,RH,2.7,4.0,4.0,3.61,284361,132702,9478710
Chrompet,1089,2013-04-19,0,1,1,3,Normal Sale,Yes,1981-04-27,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,235305,45251,9050200
Velachery,1534,2005-04-01,6,2,1,4,Partial,Yes,1952-01-18,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,284552,63234,7904210
Anna Nagar,1622,2007-07-26,147,1,1,4,Family,Yes,2002-07-27,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,378840,209015,13063450
KK Nagar,2198,2008-04-09,71,3,2,5,Partial,Yes,1987-10-09,Others,NoSewr ,Gravel,RM,4.8,4.2,3.9,4.26,679249,122265,13584980
Chrompet,1293,2014-09-05,34,2,1,4,Normal Sale,No,1975-05-19,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050
KK Nagar,1641,2009-10-17,178,2,1,4,Partial,No,1980-10-24,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600
Velachery,1950,2005-03-09,185,3,2,5,AdjLand,Yes,1964-09-13,Others,NoSeWa,Paved,RL,5.0,4.2,3.4,4.16,411601,84741,12105920
Karapakkam,1245,2011-08-26,106,1,1,3,Partial,No,1983-02-09,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375
Chrompet,905,2009-12-09,144,1,1,3,Family,No,1976-09-20,Others,ELO,Gravel,RH,3.8,3.5,4.0,3.74,223393,77032,7703200
KK Nagar,1496,2012-02-24,135,2,1,4,Family,No,1998-02-27,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080
Velachery,1892,2005-11-22,38,3,2,5,AdjLand,Yes,1969-01-12,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620
Velachery,1517,2010-05-07,40,2,1,4,Family,No,1999-08-07,Commercial,ELO,Paved,C,4.0,4.6,2.9,3.94,408507,116716,11671620
Velachery,1755,2009-06-06,142,2,1,4,Family,Yes,1974-06-15,Commercial,NoSewr ,Gravel,I,4.6,4.0,3.9,4.12,581720,193907,14915900
Anna Nagar,1622,2013-04-20,79,1,1,4,AdjLand,Yes,2006-04-22,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,406434,243860,13547790
Chrompet,1092,2013-05-13,89,1,1,3,Normal Sale,No,2009-05-14,Others,AllPub,No Access,RH,2.4,2.4,2.0,2.28,246391,57491,8213040
Chrompet,821,2014-02-01,34,1,1,3,AdjLand,No,2006-04-01,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000
KK Nagar,1694,2008-07-07,72,2,1,4,Family,No,1997-10-07,Others,NoSeWa,Gravel,RL,4.0,2.0,3.9,3.36,353291,114300,10390900
Anna Nagar,1809,2010-03-22,177,2,1,5,Family,No,1984-03-28,Commercial,AllPub,No Access,RL,3.0,3.5,2.0,2.725,518585,230482,19206870
Karapakkam,1401,2011-05-11,20,2,2,4,Partial,Yes,1997-08-11,Others,AllPub,Gravel,RL,3.8,4.3,4.0,4.03,438477,229204,9965375
Karapakkam,1470,2011-02-26,99,2,2,4,AbNormal,No,1986-04-03,Others,NoSewr ,No Access,RH,3.1,3.0,3.1,3.07,302694,172968,7207000
Chrompet,798,2013-04-15,166,1,1,2,Partial,No,1976-04-24,Commercial,NoSewr ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550
Chrompet,764,2008-02-21,137,1,1,2,Partial,No,2000-02-23,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200
Chrompet,1135,2008-09-25,50,1,1,3,AbNormal,No,1985-01-10,Others,NoSewr ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200
Karapakkam,939,2009-07-23,74,1,1,3,AbNormal,No,1971-02-08,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000
Karapakkam,1586,2009-08-27,59,2,2,4,Normal Sale,Yes,1981-03-09,Commercial,NoSewr ,Gravel,RM,3.9,3.0,4.5,3.87,586956,200424,14316000
T Nagar,1973,2007-01-29,63,2,1,5,Family,Yes,1972-07-02,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,885666,116535,23307000
Chrompet,1023,2007-11-05,44,1,1,3,Partial,Yes,1990-05-15,House,AllPub,Paved,RM,3.0,2.8,3.6,3.1,282319,38941,9735150
Chrompet,884,2010-09-22,75,1,1,3,Normal Sale,No,2006-09-23,Commercial,NoSewr ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400
Anna Nagar,1640,2010-05-14,113,1,1,4,AdjLand,No,2005-05-15,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600
Adyar,622,2007-06-20,60,1,1,2,Normal Sale,No,1987-06-25,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900
Anna Nagar,1880,2009-11-23,90,2,1,5,Partial,Yes,1993-11-27,House,NoSeWa,No Access,RM,3.2,4.2,4.0,3.77,483229,214768,13423020
KK Nagar,2413,2010-03-13,166,4,2,6,AbNormal,No,2001-03-15,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040
T Nagar,1649,2009-02-28,169,1,1,4,AdjLand,No,1984-06-03,Commercial,AllPub,Gravel,RH,2.1,2.0,4.6,3.2,681808,113635,18939100
Velachery,1729,2008-08-02,144,2,1,4,Partial,Yes,1967-02-18,Commercial,NoSewr ,Paved,A,3.3,4.0,4.0,3.83,396911,128036,12803570
Chrompet,711,2014-12-05,116,1,1,2,AdjLand,Yes,2002-05-15,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,249558,64402,8050270
Chrompet,885,2013-09-19,122,1,1,3,Family,No,1981-09-27,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600
KK Nagar,1688,2009-10-30,148,2,1,4,AbNormal,Yes,1994-03-11,House,NoSewr ,Gravel,RM,2.0,2.5,4.4,3.11,547810,285318,11412700
Adyar,1236,2007-10-17,108,2,2,4,Family,No,1970-10-26,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,12035355
Karapakkam,926,2011-06-29,98,1,1,3,Family,No,1991-04-07,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,6877000
KK Nagar,1686,2009-04-30,57,2,1,4,AbNormal,No,1985-06-05,Others,NoSeWa,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,10346400
Karapakkam,1344,2009-12-16,129,2,2,4,AdjLand,No,1959-12-29,Commercial,NoSewr ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,10809500
KK Nagar,1437,2012-02-04,104,2,1,4,Family,No,1989-08-04,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,10200600
Adyar,1081,2008-10-26,85,1,1,3,Family,No,1978-03-11,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,6190150
Karapakkam,1352,2010-09-02,1,2,2,4,Normal Sale,Yes,1983-02-16,House,ELO,Gravel,A,3.0,2.0,3.5,2.9,240768,123638,6507250
KK Nagar,1986,2009-05-19,109,3,2,5,Normal Sale,No,1979-05-27,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,11350400
Anna Nagar,1758,2008-05-12,164,1,1,4,Partial,Yes,1966-12-16,Commercial,AllPub,No Access,RL,3.5,2.9,4.0,3.55,713565,231426,19285540
Karapakkam,607,2010-08-09,121,1,1,2,Normal Sale,No,1964-09-19,Others,NoSeWa,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,5856625
KK Nagar,2139,2008-10-24,136,3,2,5,Normal Sale,Yes,1987-10-30,Others,NoSewr ,Paved,RL,2.3,4.1,2.4,2.88,424048,249440,12472000
KK Nagar,1488,2010-02-28,97,2,1,4,Partial,No,1983-07-03,Others,AllPub,Paved,RH,2.3,5.0,4.1,3.83,405211,202606,8441900
Velachery,1645,2006-01-27,96,2,1,4,Partial,No,1980-03-02,House,NoSeWa,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,7579320
Chrompet,950,2009-07-12,177,1,1,3,Normal Sale,Yes,1983-12-14,Others,NoSeWa,Gravel,RL,3.7,2.6,3.4,3.17,273252,146385,9759000
Chrompet,928,2014-01-25,90,1,1,3,Partial,Yes,2010-01-26,Commercial,AllPub,Gravel,RH,2.1,3.8,3.7,3.26,409985,62119,12423800
Velachery,1693,2008-12-17,145,2,1,4,Normal Sale,Yes,1955-12-31,Commercial,NoSewr ,Paved,RM,4.1,2.7,4.1,3.47,604335,108470,15495760
Velachery,1873,2007-02-12,0,3,2,5,Family,Yes,1986-07-12,Others,ELO,No Access,RL,4.8,3.4,3.9,3.9,363735,198401,11022270
Adyar,721,2010-04-11,145,1,1,2,Partial,No,2000-06-11,Others,NoSeWa,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,7605550
Karapakkam,1190,2011-03-11,37,1,1,3,Family,Yes,1982-10-11,House,NoSewr ,Gravel,RH,4.3,4.1,3.8,4.04,342613,127484,7967750
KK Nagar,1593,2011-04-17,9,2,1,4,Partial,No,1994-04-21,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,8946800
Chrompet,786,2010-02-22,181,1,1,2,AbNormal,Yes,1998-02-25,Others,ELO,Gravel,RL,4.4,4.8,4.3,4.53,249610,83203,9244820
Chrompet,1195,2011-06-12,93,1,1,3,AdjLand,No,1992-10-12,Others,NoSeWa,Paved,RL,3.0,4.7,3.2,3.74,265183,29465,9821600
KK Nagar,1906,2008-03-26,81,3,2,5,AbNormal,Yes,2001-03-28,Commercial,NoSeWa,Paved,RH,3.7,4.7,3.0,3.72,792637,206086,15852740
Adyar,656,2010-09-24,20,1,1,2,AbNormal,No,2001-09-26,Commercial,AllPub,Paved,I,4.5,2.3,2.3,2.96,280244,113849,8757635
Chrompet,727,2007-05-28,84,1,1,2,AbNormal,No,1991-01-06,Others,ELO,Gravel,RM,3.1,4.3,2.5,3.4,218816,100992,8415990
Adyar,931,2010-06-24,37,1,1,3,Family,Yes,1977-02-07,Others,ELO,Paved,RM,2.0,3.6,4.0,3.32,367617,19871,9935595
Velachery,1898,2007-12-01,108,3,2,5,AdjLand,Yes,1969-01-21,Commercial,ELO,No Access,RM,3.9,2.7,4.4,3.51,581625,332357,16617860
Anna Nagar,1698,2007-06-27,15,1,1,4,Family,No,1967-07-07,House,NoSeWa,Gravel,RM,5.0,4.9,3.1,4.215,359949,198593,12412050
T Nagar,1926,2007-05-27,193,2,1,5,AdjLand,Yes,1990-05-31,Commercial,NoSewr ,No Access,RM,4.2,4.9,3.1,3.88,633655,203675,22630540
Karapakkam,1481,2010-12-17,144,2,2,4,Partial,Yes,1972-12-26,Commercial,AllPub,Paved,A,3.7,4.9,2.3,3.5,485174,178227,9901500
Anna Nagar,1506,2007-06-09,122,1,1,4,Family,No,1974-09-14,House,ELO,No Access,RM,3.9,3.4,2.1,3.055,417996,177648,10449910
Chrompet,1020,2014-01-11,95,1,1,3,Family,No,1990-07-11,House,NoSeWa,No Access,RM,4.2,2.4,4.1,3.45,206664,31794,7948600
Chrompet,889,2008-10-21,196,1,1,3,AbNormal,No,1987-10-27,Others,ELO,Gravel,RM,5.0,2.4,2.0,3.06,300256,136480,9098680
Chrompet,1015,2012-11-01,147,1,1,3,Family,Yes,1977-01-19,House,AllPub,Paved,RH,3.9,4.4,2.0,3.53,275314,66743,8342850
T Nagar,1682,2011-04-03,78,1,1,4,AbNormal,No,1976-12-03,Commercial,AllPub,Gravel,RH,3.7,3.0,3.5,3.435,690507,111974,18662350
Chrompet,869,2013-01-05,39,1,1,3,Family,No,1995-06-05,Others,NoSewr ,No Access,RM,4.3,4.8,3.3,4.2,220661,138935,8172630
